Formula	Mass	Initial estimation	Number of pixels	Assigned
C42H84NO12P	864.5368206488799	1.3915818358810067e-12	1	False
C34H65O17P	815.3596441325501	8.373711720798472e-08	9	True
C42H85N2O7P	799.5731465843501	1.3918388843155756e-15	1	False
C45H76NO8P	828.49456190992	0.0013061538990014744	24241	True
C48H90NO7P	862.6091977415	-1.0265963813933648e-17	1	False
C44H84NO10P	856.54699140848	3.350901481596431e-06	238	True
C43H75O12P	853.46332135425	1.8827907188670172e-06	154	True
C45H90NO8P	842.6041123617	0.0	0	False
C49H88NO8P	888.58846229716	0.0	0	False
C39H75O10P	773.47349211385	5.227653324006172e-09	3	True
C46H75O10P	857.47349211385	3.8375559053214356e-08	4	True
C47H94NO9P	886.63032711098	0.0	0	False
C41H69O10P	791.42654192023	7.113142771714312e-08	7	True
C44H87O8P	813.57756326069	-1.4269378320995176e-16	0	False
C40H74NO10P	798.46874108578	1.457464030113673e-07	16	True
C41H75NO8	748.51297487905	5.51205478694976e-08	6	True
C53H105NO4	858.76806736635	6.842747193950279e-11	2	False
C41H65O8P	755.40541255075	1.317516085161906e-08	2	True
C43H79NO9	792.53918962833	3.2232474015730194e-07	25	True
C43H73O7P	771.47309818871	-5.430879394501701e-13	1	False
C56H109NO4	898.79936749543	0.0	0	False
C44H91N2O6P	813.62518215777	0.0	0	False
C36H73O9P	719.46292742911	1.5062044492214834e-07	11	True
C46H80NO6P	812.5360327986	7.669905728858569e-08	7	True
C38H74NO7P	726.48399722518	0.0	0	False
C44H80NO11P	868.5106058996	0.0	0	False
C43H83N2O6P	793.56258189961	5.306100531623663e-05	1240	True
C29H53O15P	711.27591450491	1.6480531524147539e-07	19	True
C45H90NO7P	826.6091977415	4.165739152019415e-10	11	False
C46H74NO8P	838.47891184538	1.1978240566563938e-07	13	True
C48H95NO10	884.65930476485	0.0	0	False
C35H67O13P	765.39563571629	7.563871102184487e-09	1	True
C45H77O13P	895.47388603899	7.053418191897426e-07	65	True
C44H83O8P	809.54626313161	4.761254784321989e-08	5	True
C40H70NO9P	778.4425263365	2.6306468479766155e-06	282	True
C36H72NO9P	732.45817640104	0.0	0	False
C38H73O7P	711.47309818871	6.0283381646765e-08	8	True
C35H69O10P	719.42654192023	-3.115077346385046e-11	0	False
C38H75O7P	713.4887482532499	1.730087562213578e-07	20	True
C39H75O7P	725.4887482532499	3.2969446685157897e-06	344	True
C38H64NO10P	764.39049076308	7.431186859261859e-08	7	True
C40H80NO7P	756.5309474188	2.8964215535564846e-07	31	True
C37H75N2O6P	713.49998164145	2.635187391789006e-08	3	True
C43H75O13P	869.45823597445	1.9680020106033796e-06	180	True
C43H83NO8	780.57557513721	1.0543623613577866e-08	1	True
C41H84NO7P	772.5622475478799	1.1024177028596034e-06	69	True
C45H82NO7P	818.5465974833401	3.152113448361047e-05	2157	True
C34H60NO11P	728.3541052542	1.1685249914609004e-08	2	True
C44H89N2O6P	811.60953209323	1.618917409966914e-07	7	True
C43H70NO7P	782.4526970961	9.291345299213113e-09	1	True
C48H72NO10P	892.45309102124	0.0	0	False
C33H57NO14	730.3416120193899	7.747110861913884e-08	7	True
C44H76NO8P	816.49456190992	5.230452724986964e-07	51	True
C35H70NO8P	702.4476117163	0.0	0	False
C34H60NO10P	712.359190634	1.027558773688916e-05	587	True
C47H88NO10P	896.5782915375601	8.140902529611474e-19	5	False
C36H63O10P	725.37959172661	5.5460459154598295e-08	7	True
C46H86NO9P	866.56772685282	0.0	0	False
C49H98NO8P	898.6667126198599	0.0	0	False
C52H103NO5	860.74733192201	0.0	0	False
C43H72NO10P	832.45309102124	1.5262371303470296e-07	15	True
C50H99NO3	800.72620255253	0.0	0	False
C47H93N2O6P	851.64083222231	0.0003095100114083388	9301	True
C47H92NO9P	884.61467704644	2.1746611589963417e-20	1	False
C49H101N2O6P	883.7034324804699	2.1129060737576468e-10	2	False
C42H71O8P	773.45236274437	5.642937259079704e-09	1	True
C48H97N2O6P	867.67213235139	2.5624704621653945e-08	2	True
C34H63O12P	733.36942096701	0.0	0	False
C48H84NO8P	872.55716216808	0.0017329941189045271	24543	True
C46H89NO4	758.64286685003	1.27373580297678e-08	1	True
C47H86NO10P	894.56264147302	0.0	0	False
C48H95NO5	804.68473166385	0.0	0	False
C47H77O8P	839.49931293799	9.050122109862621e-09	1	True
C42H73O10P	807.45784204931	8.177959186534964e-07	78	True
C50H99NO4	816.72111717273	1.0106748037098717e-10	1	False
C45H83O8P	821.54626313161	5.562189337750065e-07	66	True
C42H80NO7P	780.5309474188	1.4139451591359333e-08	1	True
C40H72NO10P	796.45309102124	1.5623528229805492e-07	19	True
C48H78NO10P	898.50004121486	2.0123426023482156e-06	204	True
C43H76NO9P	820.48947653012	4.294198932409798e-06	356	True
C37H67O16P	837.38037957689	2.9285608622500715e-08	3	True
C44H80NO9P	836.5207766592	5.996534860311559e-06	347	True
C44H80NO10P	852.5156912794	1.0025875183172399e-07	8	True
C47H88NO7P	848.59354767696	0.0	0	False
C45H83O12P	885.52592161241	0.0	0	False
C50H101NO5	834.73168185747	1.7163262506779436e-08	2	True
C43H78NO10P	838.50004121486	2.4556925930594222e-08	3	True
C41H75O13P	845.45823597445	2.214015396624302e-06	242	True
C38H76NO8P	744.49456190992	0.00025706841040824433	11042	True
C37H71O13P	793.42693584537	8.888745488772961e-09	1	True
C37H74NO8P	730.47891184538	7.922759550253176e-08	10	True
C39H77N2O6P	739.51563170599	3.4696824029712943e-06	189	True
C36H66NO8P	710.41631158722	3.756952026094466e-08	5	True
C37H77N2O6P	715.51563170599	0.0	0	False
C40H81N2O7P	771.5418464552699	-2.3287081053725607e-11	0	False
C41H70NO8P	774.4476117163	0.0	0	False
C43H81O10P	827.52044230747	1.1220404697852636e-08	2	True
C41H79N2O6P	765.53128177053	5.1321978147146686e-05	2309	True
C44H88NO7P	812.59354767696	5.844613109632492e-07	107	True
C47H89O8P	851.59321332523	4.1416465940844274e-07	42	True
C37H67O13P	789.39563571629	0.0	0	False
C49H86NO8P	886.57281223262	5.3308519517747945e-19	1	False
C47H93NO4	774.6741669791099	0.0	0	False
C44H85O10P	843.5517424365501	1.2066655919960676e-08	1	True
C48H82NO6P	838.5516828631401	3.8524962624479325e-08	3	True
C39H76NO8P	756.49456190992	0.0005422947394921116	18286	True
C39H67O13P	813.39563571629	1.532585349720197e-08	1	True
C32H54NO13P	730.2969843009801	1.005717809525759e-07	11	True
C45H91N2O6P	825.62518215777	6.845805611175305e-05	713	True
C36H71O10P	733.44219198477	0.0	0	False
C44H89O9P	831.58812794543	3.824708313753369e-08	5	True
C45H77O10P	847.48914217839	2.2793067737626175e-06	229	True
C47H95NO4	776.68981704365	0.0	0	False
C47H95NO5	792.68473166385	0.0	0	False
C46H94NO7P	842.64049787058	1.016777705884237e-06	79	True
C39H74NO9P	770.47382646558	2.0711003303383745e-07	26	True
C44H78NO7P	802.5152973542599	3.3716413540269183e-12	1	False
C45H70NO8P	822.4476117163	1.314695907805562e-07	14	True
C45H83NO9	820.57048975741	4.672670779002909e-08	4	True
C47H80NO10P	888.5156912794	0.0	0	False
C49H99NO3	788.72620255253	-4.8552011653072073e-20	2	False
C46H92NO9P	872.61467704644	0.0	0	False
C36H70NO10P	746.4374409567	7.715687966722859e-09	1	True
C43H77O13P	871.47388603899	2.2867600383588057e-08	5	True
C46H80NO7P	828.5309474188	0.0	0	False
C40H79O8P	757.5149630025301	0.0	0	False
C44H87NO3	716.63230216529	0.0	0	False
C44H74NO8P	814.47891184538	2.8364261628780716e-08	6	True
C36H67O10P	729.41089185569	7.122640894777285e-09	1	True
C48H94NO7P	866.64049787058	2.9505490100892132e-08	12	True
C42H82NO9P	814.5364267237401	0.0007075050532206853	18815	True
C41H83N2O6P	769.56258189961	0.00695950072135779	31584	True
C38H69O10P	755.42654192023	0.0	0	False
C37H63O8P	705.38976248621	1.1585712593568228e-07	22	True
C36H62NO13P	786.35958455914	4.075165312683321e-08	3	True
C44H77O9P	819.49422755819	2.533145588162285e-08	6	True
C36H66NO10P	742.40614082762	7.601713795291333e-09	1	True
C46H89O8P	839.59321332523	2.1463012147188502e-06	76	True
C45H87NO4	744.62721678549	0.0	0	False
C44H89NO3	718.64795222983	0.0	0	False
C38H73O9P	743.46292742911	1.0808593849249036e-08	1	True
C31H55O15P	737.29156456945	7.465326688924478e-08	8	True
C38H66NO10P	766.40614082762	3.525649688073851e-08	5	True
C38H72NO9P	756.45817640104	1.1046423246329642e-06	153	True
C51H101NO4	830.73676723727	0.0	0	False
C38H74NO8P	742.47891184538	4.529163459570752e-05	4986	True
C43H74NO7P	786.48399722518	0.00041307982185988923	14191	True
C37H70NO8P	726.4476117163	6.209538131946038e-06	590	True
C44H83NO9	808.57048975741	2.278203792660189e-06	190	True
C43H85O7P	783.56699857595	0.0015652791477794759	26988	True
C42H77O9P	795.49422755819	5.966735677775779e-07	62	True
C45H91O7P	813.61394876957	-1.1370417242370967e-11	1	False
C39H80NO7P	744.5309474188	0.0	0	False
C45H85O12P	887.5415716769501	4.2479922417275905e-12	1	False
C47H91N2O6P	849.62518215777	5.13389921761923e-06	160	True
C41H71O13P	841.42693584537	3.0291360338688833e-07	35	True
C48H90NO8P	878.6041123617	0.0	0	False
C41H77O7P	751.50439831779	6.424022902050818e-08	5	True
C45H88NO10P	872.5782915375601	7.820242378066738e-09	4	True
C48H92NO8P	880.61976242624	4.214505064258439e-07	31	True
C36H70NO8P	714.4476117163	1.481891209892032e-05	1894	True
C46H90NO9P	870.5990269819	0.0	0	False
C38H77O7P	715.50439831779	0.0	0	False
C40H79NO9	756.53918962833	5.689378319165435e-07	48	True
C35H59O16P	805.31777931873	0.0	0	False
C46H88NO10P	884.5782915375601	0.0	0	False
C42H84NO13P	880.53173526908	0.0	0	False
C36H71O8P	701.45236274437	7.261107381659746e-06	380	True
C42H70NO10P	818.4374409567	1.6109437378544667e-07	14	True
C40H78NO9P	786.5051265946599	5.6760335737049075e-05	2898	True
C37H64NO10P	752.39049076308	4.2076251795356533e-07	45	True
C41H79O12P	833.49462148333	2.0192072591280062e-07	22	True
C38H73N2O6P	723.48433157691	1.9776059230854113e-06	206	True
C37H69O8P	711.43671267983	0.0004882550420349113	17834	True
C43H70NO10P	830.4374409567	5.403066160398974e-07	49	True
C32H57O15P	751.30721463399	2.3650199916622862e-08	3	True
C41H81O7P	755.53569844687	5.900817757056916e-07	43	True
C44H77O13P	883.47388603899	9.354574461866782e-08	10	True
C34H57O15P	775.30721463399	4.61318227020971e-08	5	True
C48H100NO6P	856.692533444	0.0	0	False
C46H84NO9P	864.55207678828	0.0	0	False
C42H72NO9P	804.45817640104	1.012027085550983e-06	105	True
C46H83O10P	865.53609237201	0.0	0	False
C44H72NO10P	844.45309102124	4.897340262085423e-06	373	True
C43H81O9P	811.52552768727	-2.412020782331704e-12	3	False
C39H71O7P	721.45744812417	1.7790608849723995e-08	2	True
C33H60NO10P	700.359190634	6.556115163797655e-07	41	True
C40H71O8P	749.45236274437	1.2177006679516271e-06	98	True
C52H105NO5	862.76298198655	-6.9619569309618e-19	0	False
C41H83O7P	757.55134851141	0.0011522103257191596	22956	True
