X	Y	PC(38:1)	PA(44:0)	PC(38:0)
6	36	1044.988649520139	4759.717719587133	668.00615084871
6	37	1077.8913510753139	2623.6171181531704	1144.6950812805178
6	38	1180.2966140441745	4087.4146231045916	1123.134793857065
6	39	938.6447078983625	2902.463352503232	1345.5060060108651
7	0	9393.714721113507	2781.4070891241045	586.6713808137628
7	1	8090.294123914518	2594.973398395148	940.925114980909
7	2	11389.56931183539	3262.558126985676	1378.1901199758058
7	3	10752.275899470113	2198.3768288311053	1282.0713330004323
7	4	12985.149433870378	1313.7860998036642	1307.084836389124
7	5	6683.66262998062	2592.8551608520074	827.6791164701021
7	6	9354.322002319966	2156.0629263211604	784.4186724382918
7	7	9714.885278256565	1815.9323820261084	1206.4600194679217
7	8	9632.029865712784	1673.7503432227218	745.9921126247419
7	9	12316.660338451753	3067.467489184572	699.8572821641153
7	10	11623.969745488454	1939.1177126085347	1527.7985507246642
7	11	9709.87917171674	1534.3994490605824	848.2750524384167
7	12	12361.048935020044	1961.578270551764	972.1645940003523
7	13	11912.995158459527	2020.3619538778175	1235.688205623299
7	14	14888.908713738036	2138.5682508324185	1071.5787236917395
7	15	11817.526317797134	2812.224073872361	974.2458856238487
7	16	8020.722628284512	1614.9785856801777	1035.2563401719394
7	17	10690.927222557608	2095.335630440272	991.7395478886704
7	18	10622.899496048316	2002.7125081203237	917.4577669908383
7	19	8358.892610320347	1326.2889219989595	884.3162064172551
7	20	1239.3509976715702	3947.5799399389716	551.9334089547383
7	21	1062.9243926026265	4003.8830846612054	655.6513245897429
7	22	968.0142793230104	3308.7203544167955	1418.4680550491892
7	23	835.6414403271051	4353.429010097247	874.0770478784253
