"","x","y","PC(38:1)","PA(44:0)","PC(38:0)"
"516",35,12,2,1,1
"517",36,12,2,2,1
"518",37,12,2,2,1
"519",38,12,2,2,2
"520",39,12,2,2,2
"521",0,13,2,1,1
"522",1,13,2,1,1
"523",2,13,2,1,1
"524",3,13,2,2,2
"525",4,13,2,2,1
"526",5,13,2,2,1
"527",6,13,2,1,1
"528",7,13,2,2,1
"529",8,13,2,1,1
"530",9,13,2,1,1
"531",10,13,2,1,1
"532",11,13,2,2,2
"533",12,13,2,2,2
"534",13,13,2,2,2
"535",14,13,2,1,2
"536",15,13,2,2,2
"537",16,13,2,1,2
"538",17,13,2,1,2
"539",18,13,2,2,2
"540",19,13,2,2,2
"541",20,13,2,2,2
"542",21,13,2,2,2
"543",22,13,2,2,2
"544",23,13,2,2,2
"545",24,13,2,2,2
"546",25,13,2,2,2
"547",26,13,2,2,2
"548",27,13,2,1,2
"549",28,13,2,1,2
"550",29,13,2,1,1
"551",30,13,2,2,1
"552",31,13,2,2,2
"553",32,13,2,2,1
"554",33,13,2,2,1
"555",34,13,2,2,2
"556",35,13,2,1,1
"557",36,13,2,2,2
"558",37,13,2,1,1
"559",38,13,2,1,1
"560",39,13,2,1,1
"561",0,14,2,2,2
"562",1,14,2,1,1
"563",2,14,2,2,2
"564",3,14,2,1,1
"565",4,14,2,2,1
"566",5,14,2,2,2
"567",6,14,2,2,1
"568",7,14,2,1,1
"569",8,14,2,2,2
"570",9,14,2,1,1
"571",10,14,2,2,2
"572",11,14,2,2,2
"573",12,14,2,2,2
"574",13,14,2,2,2
"575",14,14,2,1,2
"576",15,14,2,1,2
"577",16,14,2,1,2
"578",17,14,2,1,2
"579",18,14,2,1,2
"580",19,14,2,2,2
"581",20,14,2,2,2
"582",21,14,2,2,2
"583",22,14,2,1,1
"584",23,14,2,2,2
"585",24,14,2,1,1
"586",25,14,2,2,2
"587",26,14,2,1,2
"588",27,14,2,1,2
"589",28,14,2,2,2
"590",29,14,2,1,1
"591",30,14,2,2,1
"592",31,14,2,1,1
"593",32,14,2,2,1
"594",33,14,2,2,2
"595",34,14,2,1,1
"596",35,14,2,1,1
"597",36,14,2,2,1
"598",37,14,2,2,1
"599",38,14,2,1,1
"600",39,14,2,1,1
"601",0,15,2,1,1
"602",1,15,2,1,1
"603",2,15,2,1,1
"604",3,15,2,2,2
"605",4,15,2,2,2
"606",5,15,2,1,1
"607",6,15,2,1,1
"608",7,15,2,2,1
"609",8,15,2,2,2
"610",9,15,2,2,2
"611",10,15,2,2,2
"612",11,15,2,2,2
"613",12,15,2,2,2
"614",13,15,2,2,2
"615",14,15,2,2,2
"616",15,15,2,1,2
"617",16,15,2,2,2
"618",17,15,2,2,2
"619",18,15,2,2,2
"620",19,15,2,2,2
"621",20,15,2,2,2
"622",21,15,2,2,2
"623",22,15,2,1,1
"624",23,15,2,2,2
"625",24,15,2,1,1
"626",25,15,2,1,2
"627",26,15,2,2,2
"628",27,15,2,1,2
"629",28,15,2,2,2
"630",29,15,2,2,2
"631",30,15,2,2,1
"632",31,15,2,2,2
"633",32,15,2,1,1
"634",33,15,2,1,1
"635",34,15,2,1,1
"636",35,15,2,2,2
"637",36,15,2,2,2
"638",37,15,2,1,1
"639",38,15,2,1,1
"640",39,15,2,2,2
"641",0,16,2,1,1
"642",1,16,2,2,1
"643",2,16,2,1,1
"644",3,16,2,2,2
"645",4,16,2,1,1
"646",5,16,2,2,2
"647",6,16,2,1,1
"648",7,16,2,2,2
"649",8,16,2,2,2
"650",9,16,2,2,2
"651",10,16,2,2,2
"652",11,16,2,2,2
"653",12,16,2,2,2
"654",13,16,2,1,2
"655",14,16,2,1,2
"656",15,16,2,1,2
"657",16,16,2,2,2
"658",17,16,2,2,2
"659",18,16,2,1,2
"660",19,16,2,1,2
"661",20,16,2,1,1
"662",21,16,2,2,2
"663",22,16,2,2,2
"664",23,16,2,2,2
"665",24,16,2,2,2
"666",25,16,2,2,2
"667",26,16,2,2,2
"668",27,16,2,2,2
"669",28,16,2,2,2
"670",29,16,2,1,1
"671",30,16,2,2,1
"672",31,16,2,1,1
"673",32,16,2,1,1
"674",33,16,2,1,1
"675",34,16,2,2,1
