X	Y	PC_38_0	PC_38_1	PC_38_2	PC_38_3	PS_38_3	PS_38_4	PS_38_5	PS_38_6
0	43	0.12257726144763763	0.5347890647929538	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	44	0.1316864580875346	0.5262931330122599	0.00015259837635299103	2.3287108550232065e-05	0.00036525513049808997	0.0011763437020823793	-0.0	-0.0	
0	45	0.12333309122081551	0.5288033386502807	-0.0	-0.0	1.608721768556333e-05	2.1328291860007336e-08	-1.8939455592177334e-07	8.892578911377766e-07	
0	46	0.11256314309668396	0.5227653988431328	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	47	0.06779583844471529	0.5365769365695158	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	48	0.11442969490767768	0.5272323072417779	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	49	0.12301413081656001	0.525152249333103	-0.0	-0.0	-2.1412974317555617e-06	1.6957892471184917e-05	-0.0	-0.0	
0	50	0.12378270890417935	0.5267985410435664	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	51	0.1201708408444912	0.5325565260503423	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	52	0.12220460559021827	0.5200594835568759	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	53	0.12196718800853024	0.5363858444029193	-0.0	-0.0	0.0002071858193444251	2.490698454064619e-07	-0.0	-0.0	
0	54	0.12832352266332323	0.5374685141334276	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	55	0.12007662856940604	0.5418906557373737	-7.048197473896494e-08	-0.0	7.229403947586162e-08	-0.0	-0.0	-0.0	
0	56	0.12339473125061877	0.5369029458384348	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	57	0.12261523999999999	0.5286518299999999	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	58	0.12602373108362677	0.5152565378602152	-2.736933508252525e-07	-0.0	1.6414941065312e-06	2.379994354878444e-10	-1.602996197844599e-09	7.527982144338203e-09	
0	59	0.1363485759484813	0.5318072883660433	-0.0	-0.0	-0.0	-0.0	0.0	0.0	
0	60	0.12112520712054732	0.5289958433133011	-2.111895543539119e-07	1.445474023046757e-06	-1.0508917268546134e-07	-0.0	-0.0	-0.0	
0	61	0.03387744876617118	0.5622219513209831	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	62	0.12991514999999998	0.5335164799999998	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	
0	63	0.12763881999999996	0.5321586999999999	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	64	0.12442489168167853	0.5353451469795154	6.559367969068213e-07	-0.0	-0.0	-0.0	-0.0	-0.0	
0	65	0.1384590230933475	0.5110482123271286	-1.1444236311097738e-06	9.076237351467864e-06	-0.0	-0.0	-0.0	-0.0	
0	66	0.11362221910148104	0.5616936592377083	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	67	0.12036697837258689	0.5417738905680881	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	68	0.12063508515301005	0.5228538765610996	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	69	0.12977368317749935	0.5266957432005305	4.553816481049846e-07	-0.0	-0.0	-0.0	-0.0	0.0	
0	70	0.12801711028250964	0.5442089993402114	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	71	0.12798711041302852	0.5386664517099362	-3.910192638733421e-09	-0.0	-1.2602613733054822e-08	1.6331115614066029e-07	-1.6039642132169325e-06	1.2899826288199295e-05	
0	72	0.12852168999999988	0.5204161399999996	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	73	0.1275669534892053	0.5233553181513	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	74	0.12147997000000012	0.5298436400000004	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	75	0.10652879734275553	0.5322181198985038	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	76	0.12833210189248534	0.5294926779359249	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	77	0.06957692457154317	0.5362073827313484	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	78	0.1106253747962434	0.5363926369922903	0.004416580516833348	-0.0	0.0012919638718559467	5.038077628889779e-07	-3.3999925752917583e-06	1.5963857295415114e-05	
0	79	0.10604472000000002	0.5369284500000001	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
